history,next_token,ngram_count,history_count,probability
<s> i,l,87,87,1.0
<s> s,l,306,763,0.40104849279161203
<s> s,r,304,763,0.3984272608125819
<s> s,f,107,763,0.1402359108781127
<s> s,p,31,763,0.04062909567496723
<s> s,e,15,763,0.019659239842726082
f e,</s>,546,546,1.0
i l,l,87,87,1.0
l e,</s>,10,10,1.0
l f,e,114,114,1.0
l l,r,151,493,0.30628803245436104
l l,f,114,493,0.23123732251521298
l l,l,100,493,0.2028397565922921
l l,</s>,87,493,0.17647058823529413
l l,p,31,493,0.06288032454361055
l l,e,10,493,0.02028397565922921
l p,e,31,31,1.0
l r,r,151,151,1.0
p e,</s>,145,145,1.0
r e,</s>,47,47,1.0
r f,e,325,325,1.0
r p,e,83,83,1.0
r r,r,330,785,0.42038216560509556
r r,f,325,785,0.4140127388535032
r r,p,83,785,0.10573248407643313
r r,e,47,785,0.05987261146496815
s e,</s>,15,15,1.0
s f,e,107,107,1.0
s l,l,306,306,1.0
s p,e,31,31,1.0
s r,r,304,304,1.0
